depth,fid_qiskit,fid_model,delta_f
6,0.992016,0.992016,0.0
6,0.0026989645080784984,9.471999999999999e-05,-0.0026042445080784985
10,0.8151215699010005,0.871046101015757,0.05592453111475648
6,0.62755359721443,0.28726400000000035,-0.3402895972144297
11,0.34025797113847206,0.8619102504932987,0.5216522793548266
7,0.03584294313775781,0.0374533888,0.0016104456622421937
7,0.864475775285071,0.9798670494068882,0.11539127412181716
10,0.9763331993109136,0.9920160000000001,0.015682800689086562
11,0.24702393599999992,0.8743912900608,0.6273673540608
11,0.8637493815863572,0.822246886055936,-0.04150249553042118
7,0.6510193590172227,0.8699757264213142,0.2189563674040914
10,0.194180810944874,0.24332628676757415,0.04914547582270015
6,0.6261506139147344,0.023665280000000007,-0.6024853339147344
10,0.6172598911667726,0.28194952348059127,-0.33531036768618133
11,0.015940797822938606,0.02162898092006256,0.005688183097123954
11,0.9880957439999999,0.996,0.00790425600000011
5,0.6219835358391089,0.27696000000000043,-0.3450235358391085
4,1.0,1.0,0.0
10,0.4017508141034326,0.8230444183879673,0.42129360428453466
8,0.691229731849409,0.8292239360000001,0.13799420415059116
9,0.9003868160835913,0.4772056355665478,-0.42318118051704345
6,0.9880638719999997,0.8777499135999997,-0.11031395840000002
9,0.00028681613991155425,0.01995521366372182,0.019668397523810267
6,0.6671998301468101,0.9959999999999998,0.3288001698531897
11,0.9400000000000001,0.9400000000000001,0.0
8,0.8610058227867698,0.8711984722157569,0.01019264942898701
6,0.6768161954631088,0.2976191488000003,-0.3791970466631085
6,0.988095744,0.8273705605120003,-0.1607251834879997
7,0.988095744,0.996,0.007904255999999998
10,0.20089917678155117,0.18462764824005024,-0.016271528541500935
10,0.596530885826264,0.8122405920472444,0.2157097062209804
8,0.9362400000000001,0.7792492891750399,-0.1569907108249602
4,0.9802225971118079,0.9786093101113329,-0.0016132870004750277
5,0.9841433610240002,0.9920160000000002,0.00787263897599999
9,0.5902437540825438,0.9959999999999998,0.40575624591745596
10,0.6720197803549326,0.3000000000000004,-0.3720197803549322
4,0.3995222903573632,0.7260218996856121,0.32649960932824895
