fid_phase1,fid_phase2
0.9999999035914658,0.9999999035914658
0.24999996577146,0.12499997860716283
0.99999986308584,0.99999986308584
0.9999996271743158,0.9903923131043094
0.9999997413114187,0.9999997413114187
0.9999999315429177,0.9999999315429177
0.5624999614928912,0.9999999315429177
1.0,1.0
1.0,1.0
0.9999997008057997,0.8210667342559377
0.9999998174057935,0.9999998174057935
0.9999999315429177,0.9999999315429177
0.9999999315429177,0.9999999315429177
0.99999986308584,0.99999986308584
0.9999997602714555,0.9999997602714555
0.9999999720485462,0.9999999720485462
0.9999998174057935,0.9999998174057935
0.8829253905650082,0.8589149415796944
0.9999997831772582,0.9999997831772582
0.9619395310903791,0.9619395310903791
0.9999999315429177,0.9999999315429177
1.0,1.0
0.9999998174057935,0.9999998174057935
0.9714534292373992,0.9714534258258636
0.9999997477172825,0.9999997477172825
0.9999999315429177,0.9999999315429177
0.9999998756400149,0.9999998756400149
0.9999998846314264,0.9999998846314264
0.9999998174057937,0.9999998174057937
1.0,1.0
0.9999999720485462,0.9999999720485462
0.9999997704943077,0.9999997704943077
0.9999997197658356,0.9999997197658356
1.0,1.0
0.9999997692628662,0.9999997692628662
0.9999999315429177,0.9999999315429177
0.9999997692628662,0.9999997692628662
0.9619396151803717,0.9619396151803717
1.0,1.0
0.9999999035914658,0.9999999035914658
0.9999999315429177,0.9999999315429177
0.9999998846314264,0.9999998846314264
0.9999998846314264,0.9999998846314264
0.9999996678087097,0.9999996678087097
0.23133198458178278,0.06249998423233013
0.9999999315429177,0.9999999315429177
0.999999565123121,0.999999565123121
0.9999996740857952,0.9999996740857952
0.9999999440970931,0.9999999440970931
0.989687721382666,0.9904153912240808
0.9999996525402131,0.9903923096120468
0.9999998287285259,0.9999998287285259
0.9999996005830912,0.9999996005830912
0.9999997704943077,0.9999997704943077
0.5625,0.25
0.9999999035914658,0.9999999035914658
0.9999997704943077,0.9999997704943077
1.0,1.0
0.9999999720485462,0.9999999720485462
1.0,1.0
0.9532571362608405,0.9532571362608405
0.9999998846314264,0.9999998846314264
0.9999999720485462,0.9999999720485462
0.9999999035914658,0.9999999035914658
0.5624999614928912,0.9999999315429177
1.0,1.0
1.0,1.0
0.5624999457701993,0.5624999457701993
0.9999998630858407,0.9999998630858407
1.0,1.0
0.9999999720485462,0.9999999720485462
