------------------------------------------------
Starting Stage 1: The Bootcamp
Date: Mon Jan  5 15:25:25 EST 2026
------------------------------------------------
Loading config from qcgpt3/configs/big_entangle_stage1_bootcamp.json
Created run directory: model_checkpoints/qcgpt3_big_entangle_stage1_bootcamp
Building dataloader with max_depth=8
[HighPerformanceDataset] Configured for 500000 samples. QDPE-accelerated.
Starting training from epoch 1 to 100
Epoch 020 | T_Loss: 3.1429 (loss_sup: 2.4685 | loss_ent_teacher: 0.0337) | V_Loss: 3.1007 (loss_sup: 2.4427 | loss_ent_teacher: 0.0326) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.91e-04 | LR_Dec: 1.91e-04
Epoch 021 | T_Loss: 3.0556 (loss_sup: 2.4575 | loss_ent_teacher: 0.0299) | V_Loss: 2.5911 (loss_sup: 2.4016 | loss_ent_teacher: 0.0095) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.90e-04 | LR_Dec: 1.90e-04
Epoch 022 | T_Loss: 2.6051 (loss_sup: 2.4388 | loss_ent_teacher: 0.0083) | V_Loss: 2.4443 (loss_sup: 2.3029 | loss_ent_teacher: 0.0071) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.90e-04 | LR_Dec: 1.90e-04
Epoch 023 | T_Loss: 2.5258 (loss_sup: 2.3879 | loss_ent_teacher: 0.0069) | V_Loss: 2.3859 (loss_sup: 2.2612 | loss_ent_teacher: 0.0063) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.89e-04 | LR_Dec: 1.89e-04
Epoch 024 | T_Loss: 2.4804 (loss_sup: 2.3555 | loss_ent_teacher: 0.0062) | V_Loss: 2.3499 (loss_sup: 2.2363 | loss_ent_teacher: 0.0057) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.88e-04 | LR_Dec: 1.88e-04
Epoch 025 | T_Loss: 2.4431 (loss_sup: 2.3269 | loss_ent_teacher: 0.0058) | V_Loss: 2.3134 (loss_sup: 2.2062 | loss_ent_teacher: 0.0054) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.87e-04 | LR_Dec: 1.87e-04
Epoch 026 | T_Loss: 2.4104 (loss_sup: 2.3006 | loss_ent_teacher: 0.0055) | V_Loss: 2.2853 (loss_sup: 2.1785 | loss_ent_teacher: 0.0053) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.86e-04 | LR_Dec: 1.86e-04
Epoch 027 | T_Loss: 2.3827 (loss_sup: 2.2774 | loss_ent_teacher: 0.0053) | V_Loss: 2.2580 (loss_sup: 2.1586 | loss_ent_teacher: 0.0050) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.84e-04 | LR_Dec: 1.84e-04
Epoch 028 | T_Loss: 2.3551 (loss_sup: 2.2537 | loss_ent_teacher: 0.0051) | V_Loss: 2.2300 (loss_sup: 2.1322 | loss_ent_teacher: 0.0048) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.83e-04 | LR_Dec: 1.83e-04
Epoch 029 | T_Loss: 2.3306 (loss_sup: 2.2327 | loss_ent_teacher: 0.0049) | V_Loss: 2.2075 (loss_sup: 2.1146 | loss_ent_teacher: 0.0046) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.82e-04 | LR_Dec: 1.82e-04
Epoch 030 | T_Loss: 2.3075 (loss_sup: 2.2121 | loss_ent_teacher: 0.0048) | V_Loss: 2.1902 (loss_sup: 2.0990 | loss_ent_teacher: 0.0045) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.81e-04 | LR_Dec: 1.81e-04
Epoch 031 | T_Loss: 2.2836 (loss_sup: 2.1910 | loss_ent_teacher: 0.0046) | V_Loss: 2.1591 (loss_sup: 2.0692 | loss_ent_teacher: 0.0044) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.80e-04 | LR_Dec: 1.80e-04
Epoch 032 | T_Loss: 2.2622 (loss_sup: 2.1721 | loss_ent_teacher: 0.0045) | V_Loss: 2.1400 (loss_sup: 2.0512 | loss_ent_teacher: 0.0044) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.78e-04 | LR_Dec: 1.78e-04
Epoch 033 | T_Loss: 2.2419 (loss_sup: 2.1538 | loss_ent_teacher: 0.0044) | V_Loss: 2.1218 (loss_sup: 2.0337 | loss_ent_teacher: 0.0043) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.77e-04 | LR_Dec: 1.77e-04
Epoch 034 | T_Loss: 2.2208 (loss_sup: 2.1347 | loss_ent_teacher: 0.0043) | V_Loss: 2.1092 (loss_sup: 2.0222 | loss_ent_teacher: 0.0043) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.76e-04 | LR_Dec: 1.76e-04
Epoch 035 | T_Loss: 2.2029 (loss_sup: 2.1179 | loss_ent_teacher: 0.0043) | V_Loss: 2.0898 (loss_sup: 2.0039 | loss_ent_teacher: 0.0041) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.74e-04 | LR_Dec: 1.74e-04
Epoch 036 | T_Loss: 2.1834 (loss_sup: 2.0994 | loss_ent_teacher: 0.0042) | V_Loss: 2.0667 (loss_sup: 1.9811 | loss_ent_teacher: 0.0042) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.73e-04 | LR_Dec: 1.73e-04
Epoch 037 | T_Loss: 2.1651 (loss_sup: 2.0823 | loss_ent_teacher: 0.0041) | V_Loss: 2.0575 (loss_sup: 1.9738 | loss_ent_teacher: 0.0040) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.71e-04 | LR_Dec: 1.71e-04
Epoch 038 | T_Loss: 2.1468 (loss_sup: 2.0658 | loss_ent_teacher: 0.0041) | V_Loss: 2.0348 (loss_sup: 1.9497 | loss_ent_teacher: 0.0040) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.70e-04 | LR_Dec: 1.70e-04
Epoch 039 | T_Loss: 2.1305 (loss_sup: 2.0501 | loss_ent_teacher: 0.0040) | V_Loss: 2.0116 (loss_sup: 1.9299 | loss_ent_teacher: 0.0039) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.68e-04 | LR_Dec: 1.68e-04
Epoch 040 | T_Loss: 2.1128 (loss_sup: 2.0337 | loss_ent_teacher: 0.0040) | V_Loss: 2.0020 (loss_sup: 1.9216 | loss_ent_teacher: 0.0039) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.67e-04 | LR_Dec: 1.67e-04
Epoch 041 | T_Loss: 2.0972 (loss_sup: 2.0189 | loss_ent_teacher: 0.0039) | V_Loss: 1.9900 (loss_sup: 1.9116 | loss_ent_teacher: 0.0038) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.65e-04 | LR_Dec: 1.65e-04
Epoch 042 | T_Loss: 2.0830 (loss_sup: 2.0055 | loss_ent_teacher: 0.0039) | V_Loss: 1.9747 (loss_sup: 1.8955 | loss_ent_teacher: 0.0038) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.64e-04 | LR_Dec: 1.64e-04
Epoch 043 | T_Loss: 2.0662 (loss_sup: 1.9902 | loss_ent_teacher: 0.0038) | V_Loss: 1.9534 (loss_sup: 1.8746 | loss_ent_teacher: 0.0038) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.62e-04 | LR_Dec: 1.62e-04
Epoch 044 | T_Loss: 2.0530 (loss_sup: 1.9775 | loss_ent_teacher: 0.0038) | V_Loss: 1.9444 (loss_sup: 1.8680 | loss_ent_teacher: 0.0037) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.60e-04 | LR_Dec: 1.60e-04
Epoch 045 | T_Loss: 2.0373 (loss_sup: 1.9634 | loss_ent_teacher: 0.0037) | V_Loss: 1.9265 (loss_sup: 1.8517 | loss_ent_teacher: 0.0036) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.59e-04 | LR_Dec: 1.59e-04
Epoch 046 | T_Loss: 2.0233 (loss_sup: 1.9506 | loss_ent_teacher: 0.0036) | V_Loss: 1.9145 (loss_sup: 1.8423 | loss_ent_teacher: 0.0035) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.57e-04 | LR_Dec: 1.57e-04
Epoch 047 | T_Loss: 2.0077 (loss_sup: 1.9384 | loss_ent_teacher: 0.0035) | V_Loss: 1.8980 (loss_sup: 1.8318 | loss_ent_teacher: 0.0032) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.55e-04 | LR_Dec: 1.55e-04
Epoch 048 | T_Loss: 1.9914 (loss_sup: 1.9271 | loss_ent_teacher: 0.0032) | V_Loss: 1.8782 (loss_sup: 1.8180 | loss_ent_teacher: 0.0029) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.54e-04 | LR_Dec: 1.54e-04
Epoch 049 | T_Loss: 1.9734 (loss_sup: 1.9153 | loss_ent_teacher: 0.0029) | V_Loss: 1.8653 (loss_sup: 1.8072 | loss_ent_teacher: 0.0027) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.52e-04 | LR_Dec: 1.52e-04
Epoch 050 | T_Loss: 1.9588 (loss_sup: 1.9047 | loss_ent_teacher: 0.0027) | V_Loss: 1.8533 (loss_sup: 1.8003 | loss_ent_teacher: 0.0025) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.50e-04 | LR_Dec: 1.50e-04
Epoch 051 | T_Loss: 1.9446 (loss_sup: 1.8931 | loss_ent_teacher: 0.0026) | V_Loss: 1.8348 (loss_sup: 1.7832 | loss_ent_teacher: 0.0024) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.48e-04 | LR_Dec: 1.48e-04
Epoch 052 | T_Loss: 1.9318 (loss_sup: 1.8819 | loss_ent_teacher: 0.0025) | V_Loss: 1.8278 (loss_sup: 1.7777 | loss_ent_teacher: 0.0023) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.46e-04 | LR_Dec: 1.46e-04
Epoch 053 | T_Loss: 1.9195 (loss_sup: 1.8711 | loss_ent_teacher: 0.0024) | V_Loss: 1.8157 (loss_sup: 1.7673 | loss_ent_teacher: 0.0022) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.44e-04 | LR_Dec: 1.44e-04
Epoch 054 | T_Loss: 1.9090 (loss_sup: 1.8615 | loss_ent_teacher: 0.0024) | V_Loss: 1.8086 (loss_sup: 1.7611 | loss_ent_teacher: 0.0022) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.43e-04 | LR_Dec: 1.43e-04
Epoch 055 | T_Loss: 1.8967 (loss_sup: 1.8508 | loss_ent_teacher: 0.0023) | V_Loss: 1.7965 (loss_sup: 1.7482 | loss_ent_teacher: 0.0022) | D: 8 | N_W: 0.00 | Temp: 1.00 | LR_Enc: 1.41e-04 | LR_Dec: 1.41e-04
