epoch,loss
1,1.18306052
2,0.92393245
3,0.85487603
4,0.81780293
5,0.79274680
6,0.75859100
7,0.74198540
8,0.71960860
9,0.70343856
10,0.69519439
11,0.68595641
12,0.67215381
13,0.66662327
14,0.65771596
15,0.64784322
16,0.63772474
17,0.63257163
18,0.62584493
19,0.62325112
20,0.61346624
21,0.61157841
22,0.60744376
23,0.60620046
24,0.59336292
25,0.59056284
26,0.58949706
27,0.58362530
28,0.57685825
29,0.57899861
30,0.57679890
31,0.56425719
32,0.57068420
33,0.57026685
34,0.56331809
35,0.56247712
36,0.55526833
37,0.55202876
38,0.55507606
39,0.55678539
40,0.54976144
41,0.54919160
42,0.54152783
43,0.54816316
44,0.54030334
45,0.53839281
46,0.53663500
47,0.53413233
48,0.54084703
49,0.53873810
50,0.53363893
51,0.52572896
52,0.53890307
53,0.53228810
54,0.52630740
55,0.52694663
56,0.53162249
57,0.52687570
58,0.51561815
59,0.51959940
60,0.52782234
61,0.52387400
62,0.51939438
63,0.51704264
64,0.51608800
65,0.50962221
66,0.51971977
67,0.51162311
68,0.51703651
69,0.51597690
70,0.51387183
71,0.51048898
72,0.50127018
73,0.51192706
74,0.50882917
75,0.50563237
76,0.50224626
77,0.50829232
78,0.49832313
79,0.50221598
80,0.50387559
81,0.50081607
82,0.50679490
83,0.50786650
84,0.50432603
85,0.50358220
86,0.49739606
87,0.49544684
88,0.49114877
89,0.49721307
90,0.49951857
91,0.48822645
92,0.49761146
93,0.49497955
94,0.49313659
95,0.49168827
96,0.49144610
97,0.49164024
98,0.48908992
99,0.48279633
100,0.48834508
